 |14|山西省|省|
142303005|142303005011|南垣活|村|
142303005|142303005012|芦王庄|村|
142303005|142303005013|邓家坪|村|
142303005|142303005014|南偏城|村|
142303005|142303005015|北偏城|村|
142303005|142303005016|北灵浮|村|
142303005|142303005017|南灵浮|村|
142303005|142303005018|后贺家庄|村|
142303005|142303005019|前贺家庄|村|
142303005|142303005020|乔家山|村|
142303005|142303005021|南墕|村|
142303005|142303005022|磁盆沟|村|
142303005|142303005023|杨家庄|村|
142303005|142303005024|中西庄|村|
142303005|142303005025|墕头|村|
142303005|142303005026|北舍|村|
142303005|142303005028|高家庄|村|
142303005|142303005029|韩家垣|村|
142303005|142303005030|靳家庄|村|
142303005|142303005031|中庄|村|
142303005|142303005032|垣头|村|
142303005|142303005033|庄子村|村|
142303006|142303006001|郝家庄|村|
142303006|142303006002|北杨家庄|村|
142303006|142303006003|上林舍|村|
142303006|142303006004|前庄|村|
142303006|142303006005|北赵郡|村|
142303006|142303006006|西庄|村|
142303006|142303006007|安家庄|村|
142303006|142303006008|黄嶂|村|
142303006|142303006009|南赵郡|村|
142303006|142303006010|南庄|村|
142303006|142303006012|下家庄|村|
142303006|142303006013|张家堡|村|
142303006|142303006014|龙泉|村|
142303006|142303006015|杏湾|村|
142303006|142303006016|候家墕|村|
142303006|142303006017|南垣村|村|
142303006|142303006018|兴裕村|村|
142303006|142303006019|南垣寨|村|
142303006|142303006020|河提|村|
142303006|142303006021|郭家庄|村|
142303006|142303006023|芦家垣|村|
142303006|142303006024|万户候|村|
142303006|142303006025|石盘山|村|
142303006|142303006026|南垣底|村|
142303006|142303006027|栗家庄|村|
142303006|142303006028|协和堡|村|
142303006|142303006029|刘家庄|村|
142303006|142303006030|刘家堡|村|
142303006|142303006031|田村|村|
142303006|142303006032|北垣底|村|
142303006|142303006033|花豹里庄|村|
142303006|142303006034|桑枣坡|村|
142303006|142303006035|芦家庄|村|
142303006|142303006036|南花枝|村|
142303006|142303006037|北花枝|村|
142303006|142303006038|石家庄|村|
142303006|142303006039|石塔|村|
142303006|142303006040|河北|村|
142303006|142303006041|牧庄|村|
142303007|142303007001|冯家庄|村|
142303007|142303007002|北门|村|
142303007|142303007003|西关|村|
142303007|142303007004|西门|村|
142303007|142303007005|小向善|村|
142303007|142303007006|大向善|村|
142303008|142303008001|洪南社|村|
142303008|142303008002|南关|村|
142303008|142303008003|东南|村|
142303008|142303008004|东关|村|
142303008|142303008005|昌宁宫|村|
142303008|142303008006|建昌|村|
142303009|142303009001|北关|村|
142303009|142303009002|北关园|村|
142303009|142303009003|籽城坊|村|
142303009|142303009004|东北|村|
142303009|142303009005|古庄|村|
142303009|142303009006|曹新庄|村|
142303010|142303010001|金井|村|
142303010|142303010002|新丰|村|
142303010|142303010003|朝阳坡|村|
142303010|142303010004|后庄化|村|
142303010|142303010005|前庄化|村|
142303010|142303010006|太平|村|
142303010|142303010007|董寺|村|
142303010|142303010008|罗城|村|
142303010|142303010009|小罗城|村|
142303010|142303010010|大相|村|
142303010|142303010011|贾家庄|村|
142303010|142303010012|古浮图|村|
142303010|142303010013|米家庄|村|
142303010|142303010014|北廓村|村|
142303010|142303010015|西陈家庄|村|
142303010|142303010016|古贤|村|
142303010|142303010017|西雷家堡|村|
142303011|142303011001|西马寨|村|
142303011|142303011002|中寨|村|
142303011|142303011003|唐家堡|村|
142303011|142303011004|东雷家堡|村|
142303011|142303011005|孙家庄|村|
142303011|142303011006|望舂|村|
142303011|142303011007|何家庄|村|
142303011|142303011008|宣才堡|村|
142303011|142303011009|义安|村|
142303011|142303011010|肖家庄|村|
142303011|142303011011|八十堡|村|
142303011|142303011012|青堆|村|
142303011|142303011013|高丰|村|
142303011|142303011014|潴城|村|
142303011|142303011015|安头|村|
142303011|142303011016|康宁堡|村|
142303011|142303011017|玉兰|村|
142303012|142303012001|平陆|村|
142303012|142303012002|义丰北|村|
142303012|142303012003|尚文|村|
142303012|142303012004|南石|村|
142303012|142303012005|北石|村|
142303012|142303012006|西赵|村|
142303012|142303012007|东赵|村|
142303012|142303012008|张新堡|村|
142303012|142303012009|义丰南|村|
142303012|142303012010|赵家堡|村|
142303012|142303012011|任家堡|村|
142303012|142303012012|巩村|村|
142303012|142303012013|上庄|村|
142303012|142303012014|北马庄|村|
142303012|142303012015|东石|村|
142303012|142303012016|南马庄|村|
142303012|142303012017|员庄|村|
142303012|142303012018|三泉|村|
142303012|142303012019|南垣|村|
142303012|142303012020|李家街|村|
142303012|142303012021|聂生|村|
142303012|142303012022|段家庄|村|
142303012|142303012023|团城|村|
142303012|142303012024|北榆苑|村|
142303012|142303012025|任义庄|村|
142303012|142303012026|崞村|村|
142303012|142303012027|西贾壁|村|
142303012|142303012028|东贾壁|村|
142303012|142303012029|坂峪|村|
142303012|142303012030|仁道|村|
142303012|142303012031|郭家庄|村|
142303012|142303012032|张多|村|
142303012|142303012033|新贤|村|
142303013|142303013001|文候|村|
142303013|142303013002|乔家庄|村|
142303013|142303013003|西阳城|村|
142303013|142303013004|赵家庄|村|
142303013|142303013005|吴南社|村|
142303013|142303013006|西路家庄|村|
142303013|142303013007|峰南|村|
142303013|142303013008|路家庄|村|
142303013|142303013009|西龙观|村|
142303013|142303013010|东龙观|村|
142303013|142303013011|孝臣|村|
142303013|142303013012|东阳城|村|
142303013|142303013013|见喜|村|
142303013|142303013014|申家堡|村|
142303013|142303013015|北堡|村|
142303013|142303013016|北庄|村|
142303013|142303013017|史家堡|村|
142303013|142303013018|靳屯|村|
