 |14|山西省| |省| |SHENG| |101|0|2
142330006|142330006011|新民| |村| |CUN| |105|0|12
142330007|142330007001|阳和沟| |村| |CUN| |105|0|12
142330007|142330007002|龙凤村| |村| |CUN| |105|0|12
142330007|142330007003|石门墕| |村| |CUN| |105|0|12
142330007|142330007004|杨家村| |村| |CUN| |105|0|12
142330007|142330007005|水源| |村| |CUN| |105|0|12
142330007|142330007006|闫家山| |村| |CUN| |105|0|12
142330007|142330007007|下庄| |村| |CUN| |105|0|12
142330007|142330007008|王家庄| |村| |CUN| |105|0|12
142330007|142330007009|水沟| |村| |CUN| |105|0|12
142330007|142330007010|店坪| |村| |CUN| |105|0|12
142330007|142330007011|新房| |村| |CUN| |105|0|12
142330007|142330007013|西相王| |村| |CUN| |105|0|12
142330007|142330007014|杨家会| |村| |CUN| |105|0|12
142330007|142330007015|东坡| |村| |CUN| |105|0|12
142330007|142330007016|杨家塔| |村| |CUN| |105|0|12
142330007|142330007017|张家耳| |村| |CUN| |105|0|12
142330007|142330007018|高家沟| |村| |CUN| |105|0|12
142330007|142330007019|举人头| |村| |CUN| |105|0|12
142330007|142330007020|郭家沟| |村| |CUN| |105|0|12
142330007|142330007021|红罗沟| |村| |CUN| |105|0|12
142330007|142330007022|大武一村| |村| |CUN| |105|0|12
142330007|142330007023|大武二村| |村| |CUN| |105|0|12
142330007|142330007024|大武三村| |村| |CUN| |105|0|12
142330007|142330007025|大武四村| |村| |CUN| |105|0|12
142330007|142330007026|东相王| |村| |CUN| |105|0|12
142330007|142330007027|相当| |村| |CUN| |105|0|12
142330007|142330007028|雅湾| |村| |CUN| |105|0|12
142330007|142330007029|新洞上| |村| |CUN| |105|0|12
142330007|142330007030|武回庄| |村| |CUN| |105|0|12
142330007|142330007031|武家庄| |村| |CUN| |105|0|12
142330007|142330007012|保安| |村| |CUN| |105|0|12
142303001|142303001001|交口| |村| |CUN| |105|0|12
142303001|142303001002|蔚家沟| |村| |CUN| |105|0|12
142303001|142303001003|高新村| |村| |CUN| |105|0|12
142303001|142303001004|马家庄| |村| |CUN| |105|0|12
142303001|142303001005|任家庄| |村| |CUN| |105|0|12
142303001|142303001006|闫家庄| |村| |CUN| |105|0|12
142303001|142303001007|王虎庄| |村| |CUN| |105|0|12
142303001|142303001008|拐岭底| |村| |CUN| |105|0|12
142303001|142303001009|唐垣| |村| |CUN| |105|0|12
142303001|142303001010|上古池| |村| |CUN| |105|0|12
142303001|142303001011|下古池| |村| |CUN| |105|0|12
142303001|142303001012|向阳| |村| |CUN| |105|0|12
142303001|142303001013|后庄| |村| |CUN| |105|0|12
142303001|142303001014|马家社| |村| |CUN| |105|0|12
142303001|142303001015|冯家山底| |村| |CUN| |105|0|12
142303001|142303001016|后沟| |村| |CUN| |105|0|12
142303001|142303001017|南道| |村| |CUN| |105|0|12
