 |14|山西省| |省| |SHENG| |101|0|2
141128002|141128002014|冯家庄| |村| |CUN| |105|0|12
141128002|141128002015|莺峪| |村| |CUN| |105|0|12
141128002|141128002016|南阳| |村| |CUN| |105|0|12
141128003|141128003001|胡堡| |村| |CUN| |105|0|12
141128003|141128003002|西坡| |村| |CUN| |105|0|12
141128003|141128003003|后则沟| |村| |CUN| |105|0|12
141128003|141128003004|焦家峪| |村| |CUN| |105|0|12
141128003|141128003005|石湾| |村| |CUN| |105|0|12
141128003|141128003006|大西沟| |村| |CUN| |105|0|12
141128003|141128003007|麻地会| |村| |CUN| |105|0|12
141128003|141128003008|水沟湾| |村| |CUN| |105|0|12
141128003|141128003009|庄上| |村| |CUN| |105|0|12
141128003|141128003010|韩家沟| |村| |CUN| |105|0|12
141128003|141128003011|运庄| |村| |CUN| |105|0|12
141128003|141128003012|赵庄| |村| |CUN| |105|0|12
141128003|141128003013|郝家庄| |村| |CUN| |105|0|12
141128003|141128003014|桦林坪| |村| |CUN| |105|0|12
141128003|141128003015|冯家庄| |村| |CUN| |105|0|12
141128003|141128003016|阳圪台| |村| |CUN| |105|0|12
141128004|141128004001|津良庄| |村| |CUN| |105|0|12
141128004|141128004002|西山| |村| |CUN| |105|0|12
141128004|141128004003|糜家塔| |村| |CUN| |105|0|12
141128004|141128004004|东沟| |村| |CUN| |105|0|12
141128004|141128004005|东胜山| |村| |CUN| |105|0|12
141128004|141128004006|黄草林| |村| |CUN| |105|0|12
141128004|141128004007|南洼| |村| |CUN| |105|0|12
141128004|141128004008|南后庄| |村| |CUN| |105|0|12
141128004|141128004009|高家山| |村| |CUN| |105|0|12
141128004|141128004010|果则园| |村| |CUN| |105|0|12
141128004|141128004011|秦家坡| |村| |CUN| |105|0|12
141128004|141128004012|槐树墕| |村| |CUN| |105|0|12
141128004|141128004013|石站头| |村| |CUN| |105|0|12
141128004|141128004014|胡家岭| |村| |CUN| |105|0|12
141128004|141128004015|袁家甲| |村| |CUN| |105|0|12
141128004|141128004016|潘家坂| |村| |CUN| |105|0|12
141128004|141128004017|车道崖| |村| |CUN| |105|0|12
141128004|141128004018|桑家会| |村| |CUN| |105|0|12
141128004|141128004019|圪洞| |村| |CUN| |105|0|12
141128004|141128004020|高家庄| |村| |CUN| |105|0|12
141128004|141128004021|建军庄| |村| |CUN| |105|0|12
141128004|141128004022|阳湾| |村| |CUN| |105|0|12
141128004|141128004023|务云塔| |村| |CUN| |105|0|12
141128004|141128004024|水沟| |村| |CUN| |105|0|12
